Date,Map,Score,Rank,K,D,A,+/-,HS%,ADR,1v5,1v4,1v3,1v2,1v1,5k,4k,3k,Rating,Match Links,PlayerID
"Wed, 29th Jul",de_overpass,6:16,11,9,21,2,-12,33,54,0,0,0,0,0,0,0,0,0.47,13465096,76561198236436482
"Wed, 29th Jul",de_nuke,15:15,11,17,23,6,-6,53,54,0,0,0,0,1,0,0,0,0.74,13465094,76561198236436482
"Wed, 29th Jul",de_mirage,16:10,11,16,21,3,-5,44,70,0,0,0,0,0,0,0,0,0.81,13465102,76561198236436482
"Wed, 29th Jul",de_inferno,12:16,11,19,19,3,0,53,71,0,0,1,0,0,0,0,1,0.95,13465103,76561198236436482
"Tue, 28th Jul",de_inferno,11:16,11,13,22,2,-9,46,57,0,0,0,0,0,0,0,0,0.6,13388226,76561198236436482
"Tue, 28th Jul",de_nuke,16:3,11,18,8,2,10,50,105,0,0,1,0,0,0,0,2,1.57,13465082,76561198236436482
"Tue, 28th Jul",de_cache,16:11,11,24,20,10,4,63,99,0,0,0,0,1,0,0,3,1.21,13465106,76561198236436482
"Tue, 28th Jul",de_mirage,13:16,11,17,22,5,-5,41,71,0,0,0,0,1,0,1,0,0.85,13465086,76561198236436482
"Mon, 27th Jul",de_dust2,11:16,11,16,24,3,-8,25,68,0,0,0,1,0,0,0,1,0.69,13465084,76561198236436482
"Mon, 27th Jul",de_inferno,16:10,11,17,19,4,-2,71,68,0,0,0,0,0,0,0,1,0.91,13465085,76561198236436482
"Mon, 27th Jul",de_vertigo,16:12,11,16,20,7,-4,50,81,0,0,0,0,0,0,0,0,0.75,13399186,76561198236436482
"Mon, 27th Jul",de_cache,14:16,11,19,23,7,-4,53,72,0,0,0,0,0,0,0,2,0.87,13289170,76561198236436482
"Sun, 26th Jul",de_anubis,16:11,11,17,19,6,-2,29,87,0,0,0,1,0,0,0,1,0.9,13289165,76561198236436482
"Sun, 26th Jul",de_cache,5:16,10,10,21,3,-11,50,57,0,1,0,0,0,0,1,0,0.6,13289152,76561198236436482
"Sat, 25th Jul",de_dust2,16:9,10,18,14,7,4,39,85,0,0,1,0,1,0,1,1,1.17,13289155,76561198236436482
