Date,Map,Score,Rank,K,D,A,+/-,HS%,ADR,1v5,1v4,1v3,1v2,1v1,5k,4k,3k,Rating,Match Links,PlayerID
Yesterday,de_dust2,14:16,11,26,23,3,3,38,80,0,0,0,1,1,0,1,1,1.24,14089892,76561198064711336
Yesterday,de_dust2,16:2,11,22,10,10,12,36,138,0,0,0,0,1,0,0,3,1.77,14089891,76561198064711336
Yesterday,de_inferno,16:10,11,27,20,7,7,37,95,0,0,0,0,0,1,0,1,1.54,14050478,76561198064711336
Yesterday,de_dust2,16:5,11,19,14,2,5,47,87,0,0,0,0,1,0,0,2,1.25,14089889,76561198064711336
Yesterday,de_inferno,16:8,11,14,15,4,-1,21,73,0,0,0,0,1,0,0,2,0.96,14068969,76561198064711336
Yesterday,de_mirage,16:12,11,20,20,4,0,15,71,0,0,0,0,0,0,0,1,0.93,14068972,76561198064711336
2 days ago,de_inferno,16:12,11,30,15,4,15,40,97,0,0,0,0,0,1,0,2,1.73,13996539,76561198064711336
2 days ago,de_overpass,16:4,10,18,11,4,7,17,95,0,0,0,0,1,0,0,1,1.32,13996535,76561198064711336
3 days ago,de_mirage,14:16,10,21,24,9,-3,48,86,0,0,0,1,1,0,0,3,0.98,13982556,76561198064711336
3 days ago,de_dust2,16:7,10,18,14,2,4,44,83,0,0,0,0,0,1,0,0,1.33,13982554,76561198064711336
3 days ago,de_inferno,16:3,10,20,10,4,10,60,110,0,0,0,0,1,0,0,2,1.57,13982551,76561198064711336
3 days ago,de_vertigo,16:13,10,18,17,5,1,56,81,0,0,0,0,1,0,0,0,0.92,13982553,76561198064711336
3 days ago,de_mirage,15:15,10,26,20,2,6,54,86,0,0,0,0,0,0,0,3,1.25,13943331,76561198064711336
3 days ago,de_inferno,16:8,10,19,18,2,1,42,73,0,0,0,1,0,0,0,2,1.08,13943332,76561198064711336
4 days ago,de_dust2,16:11,10,31,18,6,13,55,121,0,0,0,0,0,0,0,2,1.51,13943329,76561198064711336
4 days ago,de_mirage,12:16,10,13,24,6,-11,31,62,0,0,0,0,0,0,0,1,0.61,13943330,76561198064711336
4 days ago,de_vertigo,12:16,10,32,22,3,10,34,109,0,0,0,0,1,0,1,2,1.52,13943328,76561198064711336
4 days ago,de_inferno,12:16,10,28,22,3,6,32,107,0,0,0,1,0,0,1,2,1.37,13996534,76561198064711336
4 days ago,de_mirage,16:10,10,20,14,6,6,40,76,0,0,0,0,0,0,0,3,1.24,13927650,76561198064711336
4 days ago,de_inferno,3:16,10,13,24,2,-11,38,81,0,0,0,0,0,0,0,0,0.69,13950215,76561198064711336
5 days ago,de_mirage,16:12,10,14,19,4,-5,14,63,0,0,0,0,0,0,0,0,0.74,13865695,76561198064711336
