Name,Rank,K,D,A,+/-,K/D,ADR,HS%,FK,FD,FK_T,FD_T,FK_CT,FD_CT,Trade_kill,Trade_death,Traded_first_kill,Traded_first_death,Traded_first_kill_T,Traded_first_death_T,Traded_first_kill_CT,Traded_first_death_CT,1v5,1v4,1v3,1v2,1v1,5k,4k,3k,2k,1k,KAST,Rating,Match ID,Player ID
lazyG,11,26,21,4,5,1.2,90,42%,3,4,2,1,1,3,2,4,0,3,0,1,0,2,0,1,0,0,1,0,1,0,7,8,70%,1.22,14965693,76561198236436482
*{recker}*,11,27,23,5,4,1.2,88,37%,4,3,2,2,2,1,10,3,3,0,3,0,0,0,0,0,0,0,0,0,1,0,8,7,77%,1.21,14965693,76561198064711336
✪bonzaiKH✪,10,20,24,5,-4,0.8,61,45%,2,2,0,1,2,1,3,3,2,0,0,0,2,0,0,0,0,0,0,0,0,1,6,5,63%,0.89,14965693,76561198192313598
✪Pha Kyu,11,20,21,6,-1,1.0,73,40%,2,5,1,4,1,1,4,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,3,14,77%,0.86,14965693,76561198385477755
The Mechanic,11,18,23,6,-5,0.8,73,39%,1,4,1,1,0,3,1,5,0,2,0,1,0,1,0,0,0,0,0,0,0,2,1,10,70%,0.83,14965693,76561198825433927
*{recker}*,10,30,14,1,16,2.1,103,30%,3,5,0,4,3,1,7,4,2,1,1,1,1,0,0,0,0,0,2,0,1,2,6,8,84%,1.78,14965686,76561198064711336
✪bonzaiKH✪,10,22,18,6,4,1.2,104,77%,2,2,2,2,0,0,6,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,5,5,64%,1.29,14965686,76561198192313598
The Mechanic,11,15,14,3,1,1.1,64,67%,1,2,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,68%,1.05,14965686,76561198825433927
lazyG,10,17,18,2,-1,0.9,74,47%,5,0,2,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,7,64%,0.98,14965686,76561198236436482
✪Pha Kyu,11,15,17,6,-2,0.9,73,47%,2,3,1,2,1,1,2,5,1,1,1,0,0,1,0,0,0,0,0,0,0,2,1,7,72%,0.93,14965686,76561198385477755
The Mechanic,11,28,14,1,14,2.0,101,54%,3,1,0,0,3,1,4,3,0,0,0,0,0,0,0,0,1,0,0,1,1,3,1,8,75%,1.94,14963076,76561198825433927
