Name,Rank,K,D,A,+/-,K/D,ADR,HS%,FK,FD,FK_T,FD_T,FK_CT,FD_CT,Trade_kill,Trade_death,Traded_first_kill,Traded_first_death,Traded_first_kill_T,Traded_first_death_T,Traded_first_kill_CT,Traded_first_death_CT,1v5,1v4,1v3,1v2,1v1,5k,4k,3k,2k,1k,KAST,Rating,Match ID,Player ID
lazyG,10,26,12,1,14,2.2,109,35%,5,2,3,2,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,12,79%,1.48,14963076,76561198236436482
*{recker}*,10,25,18,4,7,1.4,112,32%,6,0,3,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,9,83%,1.44,14963076,76561198064711336
✪Pha Kyu,11,16,18,4,-2,0.9,81,19%,3,1,0,0,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,71%,0.83,14963076,76561198385477755
✪bonzaiKH✪,10,12,19,6,-7,0.6,65,50%,1,2,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,67%,0.61,14963076,76561198192313598
Moose,10,26,19,5,7,1.4,108,50%,4,1,3,0,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,78%,1.24,14954131,76561198403962433
✂,11,20,22,5,-2,0.9,71,60%,2,2,0,2,2,0,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,7,74%,0.94,14954131,76561198190885646
✪Pha Kyu,11,18,21,5,-3,0.9,69,44%,3,4,2,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,8,59%,0.85,14954131,76561198385477755
✪bonzaiKH✪,10,14,22,6,-8,0.6,67,36%,3,3,1,0,2,3,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,7,59%,0.69,14954131,76561198192313598
*{recker}*,10,14,23,8,-9,0.6,74,50%,4,1,2,1,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,59%,0.66,14954131,76561198064711336
Pratik,10,20,17,1,3,1.2,83,35%,2,1,2,1,0,0,4,2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,5,6,65%,1.17,14917846,76561198372404525
✪bonzaiKH✪,10,18,21,4,-3,0.9,69,61%,4,0,2,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,8,58%,0.91,14917846,76561198192313598
*{recker}*,11,16,20,3,-4,0.8,66,50%,3,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,8,62%,0.82,14917846,76561198064711336
The Mechanic,11,16,23,3,-7,0.7,74,38%,3,2,1,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,50%,0.7,14917846,76561198825433927
lazyG,10,15,22,4,-7,0.7,80,47%,4,6,2,2,2,4,2,5,1,3,0,0,1,3,0,0,0,0,0,0,0,0,2,11,73%,0.65,14917846,76561198236436482
*{recker}*,11,29,15,3,14,1.9,107,48%,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,7,9,70%,1.54,14911445,76561198064711336
lazyG,10,22,19,6,3,1.2,98,41%,1,2,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,6,74%,1.18,14911445,76561198236436482
toothless_anaconda32,11,22,17,5,5,1.3,85,41%,3,3,2,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,9,74%,1.16,14911445,76561198804125412
The Mechanic,11,18,21,3,-3,0.9,63,22%,10,2,5,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,70%,0.8,14911445,76561198825433927
Pratik,10,14,18,1,-4,0.8,50,50%,1,2,0,2,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,10,63%,0.75,14911445,76561198372404525
*{recker}*,11,22,23,4,-1,1.0,85,32%,2,3,0,2,2,1,7,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,7,62%,1.21,14905943,76561198064711336
The Mechanic,11,26,26,12,0,1.0,104,50%,2,1,0,0,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,76%,1.17,14905943,76561198825433927
Pratik,10,22,29,3,-7,0.8,70,45%,4,8,3,5,1,3,3,4,1,0,1,0,0,0,0,0,0,1,0,0,0,3,3,7,55%,1.04,14905943,76561198372404525
lazyG,10,18,26,8,-8,0.7,85,33%,3,3,1,3,2,0,3,5,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,7,59%,0.83,14905943,76561198236436482
✪bonzaiKH✪,10,8,9,2,-1,0.9,30,63%,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,24%,0.36,14905943,76561198192313598
The Mechanic,11,27,19,4,8,1.4,89,48%,4,3,3,0,1,3,5,4,1,0,0,0,1,0,0,0,1,0,0,1,0,0,5,12,67%,1.34,14907464,76561198825433927
亗®『Deva Path』®亗,9,27,20,7,7,1.4,98,30%,4,2,0,2,4,0,3,3,0,1,0,1,0,0,0,0,0,0,1,0,0,3,6,6,70%,1.31,14907464,76561199015252694
*{recker}*,11,25,22,6,3,1.1,102,36%,2,1,1,0,1,1,4,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,6,10,67%,1.09,14907464,76561198064711336
⭕⃤ yung simp eNVy,9,24,23,3,1,1.0,73,33%,5,5,4,4,1,1,4,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,6,12,63%,0.98,14907464,76561198829236853
गिद्धराज,8,13,20,4,-7,0.7,58,46%,0,4,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,60%,0.67,14907464,76561198338826351
✪Pha Kyu,11,23,14,5,9,1.6,91,30%,1,3,1,2,0,1,5,3,1,2,1,1,0,1,0,0,0,0,1,0,1,2,2,9,77%,1.43,14853860,76561198385477755
*{recker}*,10,28,20,1,8,1.4,95,32%,8,0,3,0,5,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6,9,77%,1.42,14853860,76561198064711336
The Mechanic,10,15,16,12,-1,0.9,79,40%,3,4,2,4,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,2,8,77%,0.91,14853860,76561198825433927
s1mple,9,16,18,4,-2,0.9,74,13%,2,2,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,10,65%,0.83,14853860,76561198950114573
lazyG,10,13,17,1,-4,0.8,48,46%,0,2,0,2,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,69%,0.7,14853860,76561198236436482
✪bonzaiKH✪,10,26,14,4,12,1.9,95,54%,4,3,3,1,1,2,5,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,5,8,67%,1.52,14853862,76561198192313598
The Mechanic,10,23,17,1,6,1.4,69,39%,3,1,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,59%,1.23,14853862,76561198825433927
*{recker}*,10,23,20,4,3,1.2,79,22%,2,3,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,9,70%,1.22,14853862,76561198064711336
lazyG,10,18,22,9,-4,0.8,90,56%,4,3,1,2,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,63%,0.78,14853862,76561198236436482
✪Pha Kyu,11,17,23,5,-6,0.7,84,35%,1,2,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,67%,0.73,14853862,76561198385477755
